                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 0.9636,                0.61168,                0.90639,                0.89016,                0.30651,                0.39623,                0.27985,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     74,                0.92437,                0.62057,                 0.9056,                 0.8188,                 0.2802,                0.38451,                0.26182,                    nan,                    nan,                    nan,             0.00091263,             0.00091263,             0.00091263
                     75,                 0.8967,                0.59317,                0.92394,                0.90179,                0.30178,                0.38357,                0.26065,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     76,                0.88679,                0.57427,                0.91338,                0.73354,                0.29388,                0.36954,                0.26381,                    nan,                    nan,                    nan,             0.00089848,             0.00089848,             0.00089848
                     77,                0.85936,                0.57818,                0.90484,                0.88047,                0.29995,                0.38983,                0.28105,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     78,                0.88597,                0.55433,                0.91354,                 0.8593,                0.29688,                0.39426,                0.28048,                    nan,                    nan,                    nan,             0.00088434,             0.00088434,             0.00088434
                     79,                0.95143,                0.58713,                0.92486,                0.79731,                0.29921,                0.37225,                0.25653,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     80,                0.90297,                0.56065,                0.91432,                0.87745,                0.30871,                0.36587,                0.25517,                    nan,                    nan,                    nan,             0.00087019,             0.00087019,             0.00087019
                     81,                0.88213,                0.56788,                0.91523,                0.92287,                0.30249,                0.36033,                0.25258,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     82,                 0.8985,                0.57515,                0.91762,                 0.8498,                0.30426,                0.40247,                0.28431,                    nan,                    nan,                    nan,             0.00085604,             0.00085604,             0.00085604
                     83,                0.86686,                0.57716,                0.90465,                0.84167,                0.30231,                0.40047,                 0.2917,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     84,                0.83464,                0.52154,                0.90683,                 0.7543,                0.31297,                0.38744,                0.27841,                    nan,                    nan,                    nan,              0.0008419,              0.0008419,              0.0008419
                     85,                0.85575,                0.54424,                  0.916,                0.90068,                0.29153,                0.39563,                0.26745,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
