                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.69789,                0.45977,                0.89612,                0.86924,                0.20193,                0.33566,                 0.2485,                    nan,                    nan,                    nan,              0.0011404,              0.0011404,              0.0011404
                    104,                0.72499,                0.49268,                0.89028,                0.95995,                0.19861,                0.36169,                0.27316,                    nan,                    nan,                    nan,              0.0011376,              0.0011376,              0.0011376
                    105,                0.71181,                0.47261,                0.90543,                0.95521,                0.19745,                0.27419,                0.20481,                    nan,                    nan,                    nan,              0.0011347,              0.0011347,              0.0011347
                    106,                0.71261,                0.47038,                 0.8966,                 0.8655,                0.20098,                0.31331,                0.23611,                    nan,                    nan,                    nan,              0.0011319,              0.0011319,              0.0011319
                    107,                0.70979,                0.47598,                0.90718,                0.91233,                0.20098,                0.38273,                0.30102,                    nan,                    nan,                    nan,              0.0011291,              0.0011291,              0.0011291
                    108,                0.72744,                0.46894,                0.89506,                0.91987,                 0.2006,                0.36208,                0.28632,                    nan,                    nan,                    nan,              0.0011263,              0.0011263,              0.0011263
                    109,                0.67757,                 0.4614,                0.88294,                0.90233,                0.20377,                0.35096,                0.27284,                    nan,                    nan,                    nan,              0.0011234,              0.0011234,              0.0011234
                    110,                0.70404,                0.46101,                0.89009,                 0.8809,                0.20666,                0.36613,                0.28078,                    nan,                    nan,                    nan,              0.0011206,              0.0011206,              0.0011206
                    111,                0.66521,                0.44288,                0.88542,                0.86895,                0.20001,                0.34873,                0.26048,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                    112,                0.70934,                0.46564,                0.89813,                0.92648,                0.20284,                0.37585,                0.29082,                    nan,                    nan,                    nan,              0.0011149,              0.0011149,              0.0011149
                    113,                0.67004,                0.45295,                0.89523,                0.96509,                0.19905,                 0.3658,                0.28311,                    nan,                    nan,                    nan,              0.0011121,              0.0011121,              0.0011121
                    114,                0.70093,                0.44386,                0.89409,                0.88857,                0.20579,                0.38083,                0.30122,                    nan,                    nan,                    nan,              0.0011093,              0.0011093,              0.0011093
                    115,                0.65132,                0.42887,                0.87654,                0.88144,                0.20763,                0.37259,                0.28545,                    nan,                    nan,                    nan,              0.0011064,              0.0011064,              0.0011064
                    116,                0.71337,                0.45305,                0.88066,                0.89692,                0.20665,                 0.3663,                0.28218,                    nan,                    nan,                    nan,              0.0011036,              0.0011036,              0.0011036
                    117,                0.67205,                0.43106,                0.88303,                0.92103,                 0.2029,                0.36785,                0.28744,                    nan,                    nan,                    nan,              0.0011008,              0.0011008,              0.0011008
                    118,                0.65593,                 0.4585,                 0.8801,                0.85641,                0.20859,                0.37706,                0.29382,                    nan,                    nan,                    nan,               0.001098,               0.001098,               0.001098
                    119,                0.67606,                0.46078,                0.89243,                0.90161,                0.20666,                0.39198,                0.30403,                    nan,                    nan,                    nan,              0.0010951,              0.0010951,              0.0010951
                    120,                0.65722,                 0.4543,                0.89612,                0.89861,                 0.2075,                0.36697,                0.28637,                    nan,                    nan,                    nan,              0.0010923,              0.0010923,              0.0010923
                    121,                0.67169,                0.44427,                0.88228,                0.84997,                0.20057,                0.37374,                0.29729,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                    122,                0.65772,                0.45688,                 0.8789,                0.93285,                0.20224,                 0.3299,                0.25692,                    nan,                    nan,                    nan,              0.0010866,              0.0010866,              0.0010866
                    123,                0.65076,                0.42884,                0.87897,                 0.8539,                0.20579,                0.38344,                0.29575,                    nan,                    nan,                    nan,              0.0010838,              0.0010838,              0.0010838
                    124,                0.65827,                 0.4294,                0.89071,                0.93335,                 0.2001,                0.35333,                0.28016,                    nan,                    nan,                    nan,               0.001081,               0.001081,               0.001081
                    125,                 0.6726,                0.43576,                0.88325,                 0.9111,                0.20114,                0.21507,                0.16318,                    nan,                    nan,                    nan,              0.0010782,              0.0010782,              0.0010782
                    126,                0.66505,                0.43919,                0.88573,                0.91471,                 0.2029,                 0.3903,                0.31141,                    nan,                    nan,                    nan,              0.0010753,              0.0010753,              0.0010753
                    127,                0.66611,                0.44636,                0.88942,                0.92828,                0.19939,                 0.3499,                0.26465,                    nan,                    nan,                    nan,              0.0010725,              0.0010725,              0.0010725
                    128,                0.66919,                0.45415,                0.90096,                0.93255,                0.19905,                0.23426,                0.17658,                    nan,                    nan,                    nan,              0.0010697,              0.0010697,              0.0010697
                    129,                0.67307,                0.44172,                0.88002,                0.86193,                0.20674,                0.34931,                0.27081,                    nan,                    nan,                    nan,              0.0010668,              0.0010668,              0.0010668
                    130,                0.65979,                0.43222,                0.87799,                 0.9096,                 0.2029,                0.38301,                0.30404,                    nan,                    nan,                    nan,               0.001064,               0.001064,               0.001064
                    131,                0.63166,                 0.4295,                 0.8863,                0.84389,                0.19825,                 0.3898,                0.31072,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
